ErrorCode,Description
50107,InvalidRealmUri - The requested federation realm object doesn't exist. Contact the tenant admin.
50120,ThresholdJwtInvalidJwtFormat - Issue with JWT header. Contact the tenant admin.
50124,ClaimsTransformationInvalidInputParameter - Claims Transformation contains invalid input parameter. Contact the tenant admin to update the policy.
501241,Mandatory Input '{paramName}' missing from transformation ID '{transformId}'. This error is returned while Microsoft Entra ID is trying to build a SAML response to the application. NameID claim or NameIdentifier is mandatory in SAML response and if Microsoft Entra ID failed to get source attribute for NameID claim it returns this error. As a resolution ensure that you add claim rules. To add claim rules sign in to the Microsoft Entra admin center as at least a Cloud Application Administrator and then browse to Identity > Applications > Enterprise applications. Select your application select Single Sign-On and then in User Attributes & Claims enter the Unique User Identifier (Name ID).
50125,PasswordResetRegistrationRequiredInterrupt - Sign-in was interrupted because of a password reset or password registration entry.
50126,InvalidUserNameOrPassword - Error validating credentials due to invalid username or password. The user didn't enter the right credentials. Expect to see some number of these errors in your logs due to users making mistakes.
50127,BrokerAppNotInstalled - User needs to install a broker app to gain access to this content.
50128,Invalid domain name - No tenant-identifying information found in either the request or implied by any provided credentials.
50129,DeviceIsNotWorkplaceJoined - Workplace join is required to register the device.
50131,ConditionalAccessFailed - Indicates various Conditional Access errors such as bad Windows device state request blocked due to suspicious activity access policy or security policy decisions.
50132,SsoArtifactInvalidOrExpired - The session isn't valid due to password expiration or recent password change.
50133,SsoArtifactRevoked - The session isn't valid due to password expiration or recent password change.
50134,DeviceFlowAuthorizeWrongDatacenter - Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow the authorizing party must be in the same data center where the original request resides.
50135,PasswordChangeCompromisedPassword - Password change is required due to account risk.
50136,RedirectMsaSessionToApp - Single MSA session detected.
50139,SessionMissingMsaOAuth2RefreshToken - The session is invalid due to a missing external refresh token.
50140,KmsiInterrupt - This error occurred due to Keep me signed in interrupt when the user was signing-in. This is an expected part of the sign in flow where a user is asked if they want to remain signed into their current browser to make further logins easier.
50143,Session mismatch - Session is invalid because user tenant doesn't match the domain hint due to different resource. Open a support ticket with Correlation ID Request ID and Error code to get more details.
50144,InvalidPasswordExpiredOnPremPassword - User's Active Directory password has expired. Generate a new password for the user or have the user use the self-service reset tool to reset their password.
50146,MissingCustomSigningKey - This app is required to be configured with an app-specific signing key. It's either not configured with one or the key has expired or isn't yet valid. Please contact the owner of the application.
501461,AcceptMappedClaims is only supported for a token audience matching the application GUID or an audience within the tenant's verified domains. Either change the resource identifier or use an application-specific signing key.
50147,MissingCodeChallenge - The size of the code challenge parameter isn't valid.
501481,The Code_Verifier doesn't match the code_challenge supplied in the authorization request.
501491,InvalidCodeChallengeMethodInvalidSize - Invalid size of Code_Challenge parameter.
50155,DeviceAuthenticationFailed - Device authentication failed for this user.
50158,ExternalSecurityChallenge - External security challenge was not satisfied.
50161,InvalidExternalSecurityChallengeConfiguration - Claims sent by external provider isn't enough or Missing claim requested to external provider.
50166,ExternalClaimsProviderThrottled - Failed to send the request to the claims provider.
50168,ChromeBrowserSsoInterruptRequired - The client is capable of obtaining an SSO token through the Windows 10 Accounts extension but the token was not found in the request or the supplied token was expired.
50169,InvalidRequestBadRealm - The realm isn't a configured realm of the current service namespace.
50170,MissingExternalClaimsProviderMapping - The external controls mapping is missing.
50173,FreshTokenNeeded - The provided grant has expired due to it being revoked and a fresh auth token is needed. Either an admin or a user revoked the tokens for this user causing subsequent token refreshes to fail and require reauthentication. Have the user sign in again.
50177,ExternalChallengeNotSupportedForPassthroughUsers - External challenge isn't supported for passthrough users.
50178,SessionControlNotSupportedForPassthroughUsers - Session control isn't supported for passthrough users.
50180,WindowsIntegratedAuthMissing - Integrated Windows authentication is needed. Enable the tenant for Seamless SSO.
50187,DeviceInformationNotProvided - The service failed to perform device authentication.
50192,Invalid Request - RawCredentialExpectedNotFound - No Credential was included in the sign-in request. Example: user is performing certificate-based authentication (CBA) and no certificate is sent (or Proxy removes) the user's certificate in the sign-in request.
50194,Application '{appId}'({appName}) isn't configured as a multitenant application. Usage of the /common endpoint isn't supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multitenant.
50196,LoopDetected - A client loop has been detected. Check the app’s logic to ensure that token caching is implemented and that error conditions are handled correctly. The app has made too many of the same request in too short a period indicating that it is in a faulty state or is abusively requesting tokens.
50197,ConflictingIdentities - The user could not be found. Try signing in again.
50199,CmsiInterrupt - For security reasons user confirmation is required for this request. Interrupt is shown for all scheme redirects in mobile browsers.
51000,RequiredFeatureNotEnabled - The feature is disabled.
51001,DomainHintMustbePresent - Domain hint must be present with on-premises security identifier or on-premises UPN.
1000104,XCB2BResourceCloudNotAllowedOnIdentityTenant - Resource cloud {resourceCloud} isn't allowed on identity tenant {identityTenant}. {resourceCloud} - cloud instance which owns the resource. {identityTenant} - is the tenant where signing-in identity is originated from.
51004,UserAccountNotInDirectory - The user account doesn’t exist in the directory. An application likely chose the wrong tenant to sign into and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in add them as a guest. For further information please visit add B2B users.
51005,TemporaryRedirect - Equivalent to HTTP status 307 which indicates that the requested information is located at the URI specified in the location header. When you receive this status follow the location header associated with the response. When the original request method was POST the redirected request will also use the POST method.
51006,ForceReauthDueToInsufficientAuth - Integrated Windows authentication is needed. User logged in using a session token that is missing the integrated Windows authentication claim. Request the user to log in again.
52004,DelegationDoesNotExistForLinkedIn - The user has not provided consent for access to LinkedIn resources.
53000,DeviceNotCompliant - Conditional Access policy requires a compliant device and the device isn't compliant. The user must enroll their device with an approved MDM provider like Intune. For additional information please visit Conditional Access device remediation.
53001,DeviceNotDomainJoined - Conditional Access policy requires a domain joined device and the device isn't domain joined. Have the user use a domain joined device.
53002,ApplicationUsedIsNotAnApprovedApp - The app used isn't an approved app for Conditional Access. User needs to use one of the apps from the list of approved apps to use in order to get access.
53003,BlockedByConditionalAccess - Access has been blocked by Conditional Access policies. The access policy does not allow token issuance. If this is unexpected see the Conditional Access policy that applied to this request or contact your administrator. For additional information please visit troubleshooting sign-in with Conditional Access.
530035,BlockedBySecurityDefaults - Access has been blocked by security defaults. This is due to the request using legacy auth or being deemed unsafe by security defaults policies. For additional information please visit enforced security policies.
53004,ProofUpBlockedDueToRisk - User needs to complete the multifactor authentication registration process before accessing this content. User should register for multifactor authentication.
53010,ProofUpBlockedDueToSecurityInfoAcr - Cannot configure multifactor authentication methods because the organization requires this information to be set from specific locations or devices.
53011,User blocked due to risk on home tenant.
530034,DelegatedAdminBlockedDueToSuspiciousActivity - A delegated administrator was blocked from accessing the tenant due to account risk in their home tenant.
54000,MinorUserBlockedLegalAgeGroupRule
54005,OAuth2 Authorization code was already redeemed please retry with a new valid code or use an existing refresh token.
65001,DelegationDoesNotExist - The user or administrator hasn't consented to use the application with ID X. Send an interactive authorization request for this user and resource.
65002,Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API. A developer in your tenant might be attempting to reuse an App ID owned by Microsoft. This error prevents them from impersonating a Microsoft application to call other APIs. They must move to another app ID they register.
65004,UserDeclinedConsent - User declined to consent to access the app. Have the user retry the sign-in and consent to the app
65005,MisconfiguredApplication - The app required resource access list doesn't contain apps discoverable by the resource or the client app has requested access to resource which wasn't specified in its required resource access list or Graph service returned bad request or resource not found. If the app supports SAML you might have configured the app with the wrong Identifier (Entity). To learn more see the troubleshooting article for error 650056.
650052,The app needs access to a service (\{name}\) that your organization \{organization}\ hasn't subscribed to or enabled. Contact your IT Admin to review the configuration of your service subscriptions.
650054,The application asked for permissions to access a resource that has been removed or is no longer available. Make sure that all resources the app is calling are present in the tenant you're operating in.
650056,Misconfigured application. This could be due to one of the following: the client has not listed any permissions for '{name}' in the requested permissions in the client's application registration. Or the admin has not consented in the tenant. Or check the application identifier in the request to ensure it matches the configured client application identifier. Or check the certificate in the request to ensure it's valid. Please contact your admin to fix the configuration or consent on behalf of the tenant. Client app ID: {ID}. Please contact your admin to fix the configuration or consent on behalf of the tenant.
650057,Invalid resource. The client has requested access to a resource which isn't listed in the requested permissions in the client's application registration. Client app ID: {appId}({appName}). Resource value from request: {resource}. Resource app ID: {resourceAppId}. List of valid resources from app registration: {regList}.
67003,ActorNotValidServiceIdentity
70000,InvalidGrant - Authentication failed. The refresh token isn't valid. 
70001,UnauthorizedClient - The application is disabled. To learn more see the troubleshooting article for error 70001.
700011,UnauthorizedClientAppNotFoundInOrgIdTenant - Application with identifier {appIdentifier} was not found in the directory. A client application requested a token from your tenant but the client app doesn't exist in your tenant so the call failed.
70002,InvalidClient - Error validating the credentials. The specified client_secret does not match the expected value for this client. Correct the client_secret and try again. For more info see Use the authorization code to request an access token.
700025,InvalidClientPublicClientWithCredential - Client is public so neither 'client_assertion' nor 'client_secret' should be presented.
700027,Client assertion failed signature validation. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
70003,UnsupportedGrantType - The app returned an unsupported grant type.
700030,Invalid certificate - subject name in certificate isn't authorized. SubjectNames/SubjectAlternativeNames (up to 10) in token certificate are: {certificateSubjects}.
70004,InvalidRedirectUri - The app returned an invalid redirect URI. The redirect address specified by the client does not match any configured addresses or any addresses on the OIDC approve list.
70005,UnsupportedResponseType - The app returned an unsupported response type due to different reasons
700054,Response_type 'id_token' isn't enabled for the application. The application requested an ID token from the authorization endpoint but did not have ID token implicit grant enabled. Sign in to the Microsoft Entra admin center as at least a Cloud Application Administrator and then browse to Identity > Applications > App registrations. Select your application and then select Authentication. Under Implicit grant and hybrid flows make sure ID tokens' is selected.
70007,UnsupportedResponseMode - The app returned an unsupported value of response_mode when requesting a token.
70008,ExpiredOrRevokedGrant - The refresh token has expired due to inactivity. The token was issued on XXX and was inactive for a certain amount of time.
700082,ExpiredOrRevokedGrantInactiveToken - The refresh token has expired due to inactivity. The token was issued on {issueDate} and was inactive for {time}. Expected part of the token lifecycle - the user went an extended period of time without using the application so the token was expired when the app attempted to refresh it.
700084,The refresh token was issued to a single page app (SPA) and therefore has a fixed limited lifetime of {time} which can't be extended. It is now expired and a new sign in request must be sent by the SPA to the sign in page. The token was issued on {issueDate}.
70011,InvalidScope - The scope requested by the app is invalid.
70012,MsaServerError - A server error occurred while authenticating an MSA (consumer) user. Try again. If it continues to fail open a support ticket 
70016,AuthorizationPending - OAuth 2.0 device flow error. Authorization is pending. The device will retry polling the request.
70018,BadVerificationCode - Invalid verification code due to User typing in wrong user code for device code flow. Authorization isn't approved.
70019,CodeExpired - Verification code expired. Have the user retry the sign-in.
70043,BadTokenDueToSignInFrequency - The refresh token has expired or is invalid due to sign-in frequency checks by Conditional Access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}.
75001,BindingSerializationError - An error occurred during SAML message binding.
75003,UnsupportedBindingError - The app returned an error related to unsupported binding (SAML protocol response can't be sent via bindings other than HTTP POST).
75005,Saml2MessageInvalid - Microsoft Entra doesn’t support the SAML request sent by the app for SSO. To learn more see the troubleshooting article for error 75005.
7500514,A supported type of SAML response was not found. The supported response types are 'Response' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:protocol') or 'Assertion' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:assertion'). Application error - the developer will handle this error.
750054,SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding. To learn more see the troubleshooting article for error 750054.
75008,RequestDeniedError - The request from the app was denied since the SAML request had an unexpected destination.
75011,NoMatchedAuthnContextInOutputClaims - The authentication method by which the user authenticated with the service doesn't match requested authentication method. To learn more see the troubleshooting article for error 75011.
75016,Saml2AuthenticationRequestInvalidNameIDPolicy - SAML2 Authentication Request has invalid NameIdPolicy.
76021,ApplicationRequiresSignedRequests - The request sent by client is not signed while the application requires signed requests
76026,RequestIssueTimeExpired - IssueTime in an SAML2 Authentication Request is expired.
80001,OnPremiseStoreIsNotAvailable - The Authentication Agent is unable to connect to Active Directory. Make sure that agent servers are members of the same AD forest as the users whose passwords need to be validated and they are able to connect to Active Directory.
80002,OnPremisePasswordValidatorRequestTimedout - Password validation request timed out. Make sure that Active Directory is available and responding to requests from the agents.
80005,OnPremisePasswordValidatorUnpredictableWebException - An unknown error occurred while processing the response from the Authentication Agent. Retry the request. If it continues to fail open a support ticket to get more details on the error.
80007,OnPremisePasswordValidatorErrorOccurredOnPrem - The Authentication Agent is unable to validate user's password. Check the agent logs for more info and verify that Active Directory is operating as expected.
80010,OnPremisePasswordValidationEncryptionException - The Authentication Agent is unable to decrypt password.
80012,OnPremisePasswordValidationAccountLogonInvalidHours - The users attempted to log on outside of the allowed hours (this is specified in AD).
80013,OnPremisePasswordValidationTimeSkew - The authentication attempt couldn't be completed due to time skew between the machine running the authentication agent and AD. Fix time sync issues.
80014,OnPremisePasswordValidationAuthenticationAgentTimeout - Validation request responded after maximum elapsed time exceeded. Open a support ticket with the error code correlation ID and timestamp to get more details on this error.
81004,DesktopSsoIdentityInTicketIsNotAuthenticated - Kerberos authentication attempt failed.
81005,DesktopSsoAuthenticationPackageNotSupported - The authentication package isn't supported.
81006,DesktopSsoNoAuthorizationHeader - No authorization header was found.
81007,DesktopSsoTenantIsNotOptIn - The tenant isn't enabled for Seamless SSO.
81009,DesktopSsoAuthorizationHeaderValueWithBadFormat - Unable to validate user's Kerberos ticket.
81010,DesktopSsoAuthTokenInvalid - Seamless SSO failed because the user's Kerberos ticket has expired or is invalid.
81011,DesktopSsoLookupUserBySidFailed - Unable to find user object based on information in the user's Kerberos ticket.
81012,DesktopSsoMismatchBetweenTokenUpnAndChosenUpn - The user trying to sign in to Microsoft Entra ID is different from the user signed into the device.
90002,InvalidTenantName - The tenant name wasn't found in the data store. Check to make sure you have the correct tenant ID. The application developer will receive this error if their app attempts to sign into a tenant that we cannot find. Often this is because a cross-cloud app was used against the wrong cloud or the developer attempted to sign in to a tenant derived from an email address but the domain isn't registered.
90004,InvalidRequestFormat - The request isn't properly formatted.
90005,InvalidRequestWithMultipleRequirements - Unable to complete the request. The request isn't valid because the identifier and login hint can't be used together.
90006,ExternalServerRetryableError - The service is temporarily unavailable.
90007,InvalidSessionId - Bad request. The passed session ID can't be parsed.
90008,TokenForItselfRequiresGraphPermission - The user or administrator hasn't consented to use the application. At the minimum the application requires access to Microsoft Entra ID by specifying the sign-in and read user profile permission.
90009,TokenForItselfMissingIdenticalAppIdentifier - The application is requesting a token for itself. This scenario is supported only if the resource that's specified is using the GUID-based application ID.
90010,NotSupported - Unable to create the algorithm.
9001023,The grant type isn't supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint.
90012,RequestTimeout - The requested has timed out.
90013,InvalidUserInput - The input from the user isn't valid.
90014,MissingRequiredField - This error code might appear in various cases when an expected field isn't present in the credential.
900144,The request body must contain the following parameter: '{name}'. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
90015,QueryStringTooLong - The query string is too long.
90016,MissingRequiredClaim - The access token isn't valid. The required claim is missing.
90019,MissingTenantRealm - Microsoft Entra ID was unable to determine the tenant identifier from the request.
90020,The SAML 1.1 Assertion is missing ImmutableID of the user. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
90022,AuthenticatedInvalidPrincipalNameFormat - The principal name format isn't valid or doesn't meet the expected name[/host][@realm] format. The principal name is required host and realm are optional and can be set to null.
90023,InvalidRequest - The authentication service request isn't valid.
900236,InvalidRequestSamlPropertyUnsupported- The SAML authentication request property '{propertyName}' isn't supported and must not be set.
9002313,InvalidRequest - Request is malformed or invalid. - The issue arises because there was something wrong with the request to a certain endpoint. The suggestion to this issue is to get a fiddler trace of the error occurring and looking to see if the request is properly formatted or not.
9002332,Application '{principalId}'({principalName}) is configured for use by Microsoft Entra users only. Please do not use the /consumers endpoint to serve this request.
90024,RequestBudgetExceededError - A transient error has occurred. Try again.
90027,We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this.
90033,MsodsServiceUnavailable - The Microsoft Online Directory Service (MSODS) isn't available.
90036,MsodsServiceUnretryableFailure - An unexpected non-retryable error from the WCF service hosted by MSODS has occurred. Open a support ticket to get more details on the error.
90038,NationalCloudTenantRedirection - The specified tenant 'Y' belongs to the National Cloud 'X'. Current cloud instance 'Z' does not federate with X. A cloud redirect error is returned.
900384,JWT token failed signature validation. Actual message content is runtime specific there are a variety of causes for this error. Please see the returned exception message for details.
90043,NationalCloudAuthCodeRedirection - The feature is disabled.
900432,Confidential Client isn't supported in Cross Cloud request.
90051,InvalidNationalCloudId - The national cloud identifier contains an invalid cloud identifier.
90055,TenantThrottlingError - There are too many incoming requests. This exception is thrown for blocked tenants.
90056,BadResourceRequest - To redeem the code for an access token the app should send a POST request to the /token endpoint. Also prior to this you should provide an authorization code and send it in the POST request to the /token endpoint. Refer to this article for an overview of OAuth 2.0 authorization code flow. Direct the user to the /authorize endpoint which will return an authorization_code. By posting a request to the /token endpoint the user gets the access token. Check App registrations > Endpoints to confirm that the two endpoints were configured correctly.
900561,BadResourceRequestInvalidRequest - The endpoint only accepts {valid_verbs} requests. Received a {invalid_verb} request. {valid_verbs} represents a list of HTTP verbs supported by the endpoint (for example POST) {invalid_verb} is an HTTP verb used in the current request (for example GET). This can be due to developer error or due to users pressing the back button in their browser triggering a bad request. It can be ignored.
90072,PassThroughUserMfaError - The external account that the user signs in with doesn't exist on the tenant that they signed into, so the user can't satisfy the MFA requirements for the tenant. This error also might occur if the users are synced but there is a mismatch in the ImmutableID (sourceAnchor) attribute between Active Directory and Microsoft Entra ID. The account must be added as an external user in the tenant first. Sign out and sign in with a different Microsoft Entra user account. 
90081,OrgIdWsFederationMessageInvalid - An error occurred when the service tried to process a WS-Federation message. The message isn't valid.
90082,OrgIdWsFederationNotSupported - The selected authentication policy for the request isn't currently supported.
90084,OrgIdWsFederationGuestNotAllowed - Guest accounts aren't allowed for this site.
90085,OrgIdWsFederationSltRedemptionFailed - The service is unable to issue a token because the company object hasn't been provisioned yet.
90086,OrgIdWsTrustDaTokenExpired - The user DA token is expired.
90087,OrgIdWsFederationMessageCreationFromUriFailed - An error occurred while creating the WS-Federation message from the URI.
90090,GraphRetryableError - The service is temporarily unavailable.
90091,GraphServiceUnreachable
90092,GraphNonRetryableError
90093,GraphUserUnauthorized - Graph returned with a forbidden error code for the request.
90094,AdminConsentRequired - Administrator consent is required.
900382,Confidential Client isn't supported in Cross Cloud request.
90095,AdminConsentRequiredRequestAccess- In the Admin Consent Workflow experience an interrupt that appears when the user is told they need to ask the admin for consent.
